,QQQ_策略,QQQ_等额定投,SPY_策略,SPY_等额定投
2025-07-14,828.5583147018732,1064.437014051174,834.24764017236,1053.7387536479391
2025-07-15,829.317997536715,1065.4128505231722,830.6826348339611,1049.235793014743
2025-07-16,887.1670923524782,1166.5036703663611,890.4598244809702,1152.74366311993
2025-07-17,894.3466704271434,1175.9439639338705,895.909119554639,1159.7980413096523
2025-07-18,893.4871002611042,1174.81361838597,895.2529799437278,1158.948636588849
2025-07-21,898.1196233961742,1180.9047541896969,896.9505540124751,1161.1462289974293
2025-07-22,893.4712237809836,1174.792614911026,897.0789272501097,1161.3124144132437
2025-07-23,954.5465116843358,1280.1513185610656,971.7107424975874,1271.192171391342
2025-07-24,956.5781705111942,1282.8758561341601,972.0324942012701,1271.6130870290574
2025-07-25,958.88071027581,1285.9638135670962,976.1387080659533,1276.9848367592574
2025-07-28,961.877285330282,1289.9825481639998,975.893608697407,1276.664197720413
2025-07-29,960.387491966295,1287.9845724666593,973.3195950679457,1273.2968726186903
2025-07-30,1018.6742541111598,1389.710261113048,1039.093816069379,1371.6933083081542
2025-07-31,1013.2761173326295,1382.345938277029,1035.1958992701648,1366.547722503352
2025-08-01,993.3157615466778,1355.115487865318,1018.2286209218665,1344.1494541173447
2025-08-04,1011.6441454587559,1380.1193967317217,1033.7055784553613,1364.5803707038474
2025-08-05,1004.7754454412252,1370.749180611642,1028.464724159915,1357.6619917704847
2025-08-06,1103.4188658096075,1487.9976174516346,1122.3423926978508,1468.0611925466296
2025-08-07,1107.1530334366914,1493.0334291268905,1121.402347990519,1466.831582792003
2025-08-08,1117.4808707116756,1506.960706120159,1130.1464840265642,1478.269203664551
2025-08-11,1114.1743967157379,1502.501814233703,1127.911673085785,1475.3459965967413
2025-08-12,1128.1782095795113,1521.38642897268,1139.9193995900098,1491.0525023887863
2025-08-13,1210.7422796439614,1622.147096510625,1225.8215541314466,1596.1566503625897
2025-08-14,1209.8035614150306,1620.8894060218208,1225.9355528594026,1596.3050894458697
2025-08-15,1204.4834773321677,1613.7617521597183,1223.065281918776,1592.567675925294
2025-08-18,1204.0035234919746,1613.1185411278454,1222.7992459927373,1592.2212674197892
2025-08-19,1187.6682434820857,1591.232605958784,1216.1652667932035,1583.5830851476512
2025-08-20,1277.6167514501858,1681.7848774201627,1298.9338637512215,1679.3754372742085
2025-08-21,1271.701540604774,1673.9987799190312,1293.7228447397017,1672.638175604979
2025-08-22,1291.3206962061704,1699.8241852410931,1313.590268636198,1698.324520864572
2025-08-25,1287.5954753832507,1694.9205075808757,1307.8090777006066,1690.850091006083
2025-08-26,1292.7655868101358,1701.726160483079,1313.284877406211,1697.9296843415495
2025-08-27,1380.7523804580167,1804.3414673574077,1387.277186647006,1801.7984037428644
2025-08-28,1389.3957974011525,1815.6365234665896,1392.1900908297284,1808.1792935890865
2025-08-29,1373.3127812099692,1794.619730269621,1383.8874737195404,1797.3958377664026
2025-09-02,1361.8043311841398,1779.5803173410154,1373.6326011046028,1784.07678856266
2025-09-03,1372.5183381324348,1793.5813743658641,1381.076958020211,1793.7455343162426
2025-09-04,1470.9415835432983,1909.8158398436951,1478.6192867748161,1908.7367341468894
2025-09-05,1473.0639292798555,1912.5716177451627,1474.3367641160307,1903.2084630180377
2025-09-08,1480.2495520327393,1921.9009599169747,1477.9587376828351,1907.8840370883236
2025-09-09,1484.4433948243664,1927.3460894060534,1481.3754432422247,1912.2946324791058
2025-09-10,1484.929195304426,1927.97683467983,1485.6578260726671,1917.8227231047697
2025-09-11,1554.5722194974892,2039.1988189501217,1559.0041094396352,2033.7604325635177
2025-09-12,1561.439008682149,2048.206065235979,1558.4822665728025,2033.0796752979315
2025-09-15,1574.800154892071,2065.732663520427,1566.7796554688036,2043.9038297232491
2025-09-16,1573.4695282307516,2063.986796615947,1564.6224333109883,2041.0896786621647
2025-09-17,1570.3288519622158,2059.8672513751662,1562.678546803696,2038.5538293722318
2025-09-18,1645.4882764604486,2178.440985297172,1640.979981271197,2148.078735965516
2025-09-19,1656.6273241310028,2193.187603322324,1649.1076210672097,2158.717994468766
2025-09-22,1666.4345769391755,2206.171299153138,1656.9096076995047,2168.9309658483053
2025-09-23,1655.3657127439087,2191.5173722365025,1647.8901862599246,2157.1243456419666
2025-09-24,1649.554351873304,2183.8237863380996,1642.647185534397,2150.2611428608866
2025-09-25,1703.4426518665912,2274.408698185155,1706.068942855315,2240.341057216507
2025-09-26,1710.4454079619616,2283.758663302635,1715.8431410200394,2253.1761407818603
2025-09-29,1718.3667221956275,2294.33507218518,1720.665328482076,2259.5084432377707
2025-09-30,1723.0735214396918,2300.619513360573,1727.146809319428,2268.0196629585753
2025-10-01,1731.3391415021672,2311.6556337403154,1733.0321824649884,2275.748098055091
2025-10-02,1795.4567831389893,2421.1589921490145,1806.02825446703,2378.3692594554327
2025-10-03,1787.8983551823535,2410.966513006339,1806.0014916302473,2378.3340153178383
2025-10-06,1801.3258186660603,2429.073339224953,1812.4782633343386,2386.863314172062
2025-10-07,1791.8406935315509,2416.28272447625,1805.7584784641533,2378.013989846226
2025-10-08,1812.3820461533055,2443.9825728257692,1816.5263902017548,2392.194316317806
2025-10-09,1892.1885169950815,2541.024616446173,1897.263858314653,2485.26405703962
2025-10-10,1826.5025620983533,2452.8147859518926,1845.984950765216,2418.092785495935
2025-10-13,1865.2634370842575,2504.8668603670717,1874.3099151742263,2455.1962256179495
2025-10-14,1852.8389387344769,2488.181970954507,1872.0201621802867,2452.196832154358
2025-10-15,1865.914059294573,2505.740582534588,1880.3310726276825,2463.083460772549
2025-10-16,1956.00470136902,2596.4619887713466,1964.5256220872095,2546.309343760324
2025-10-17,1968.8493670793682,2613.512400895638,1975.67688807003,2560.7629973281732
2025-10-20,1993.6582800453723,2646.444530073999,1996.2247872011749,2587.3960465304995
